# CDet hierarchical eight-pixel-group timing diagnostic
# reference median of valid individual centroids
# manual LE-versus-TOT cuts:  (loaded 0)
# pixel bar group entries manual_2d_cut source broad_mu_ns group_mu_ns used_mu_ns used_mu_err_ns used_sigma_ns correction_ns total_offset_ns fit_status reason
175 10 21 0 0 unused nan -9.2141 nan nan nan 0 0 -1 "known unused pixel"
176 11 22 0 0 unused nan -9.20248 nan nan nan 0 0 -1 "known unused pixel"
177 11 22 15 0 group_fallback nan -9.20248 -9.20248 0.135599 2.85366 -0.274039 -0.274039 -1 "insufficient individual entries"
178 11 22 29 0 group_fallback nan -9.20248 -9.20248 0.135599 2.85366 -0.274039 -0.274039 -1 "insufficient individual entries"
179 11 22 39 0 individual_fit -10.7536 -9.20248 -10.7538 0.426417 1.32139 -1.82537 -1.82537 0 "valid constrained fit"
180 11 22 98 0 individual_fit -10.2681 -9.20248 -10.4261 0.629952 2.64431 -1.49765 -1.49765 0 "valid constrained fit"
181 11 22 14 0 group_fallback nan -9.20248 -9.20248 0.135599 2.85366 -0.274039 -0.274039 -1 "insufficient individual entries"
182 11 22 96 0 individual_fit -12.4026 -9.20248 -12.1524 0.212719 0.542645 -3.22399 -3.22399 0 "valid constrained fit"
183 11 22 350 0 individual_fit -7.23099 -9.20248 -7.16039 0.152523 1.85362 1.76805 1.76805 0 "valid constrained fit"
184 11 23 445 0 individual_fit -7.60364 -8.59172 -7.42279 0.15483 1.69075 1.50565 1.50565 0 "valid constrained fit"
185 11 23 13 0 group_fallback nan -8.59172 -8.59172 0.1204 2.23903 0.336721 0.336721 -1 "insufficient individual entries"
186 11 23 38 0 group_fallback -10.7258 -8.59172 -8.59172 0.1204 2.23903 0.336721 0.336721 0 "individual constrained fit failed quality criteria"
187 11 23 31 0 group_fallback nan -8.59172 -8.59172 0.1204 2.23903 0.336721 0.336721 -1 "insufficient individual entries"
188 11 23 0 0 unused nan -8.59172 nan nan nan 0 0 -1 "known unused pixel"
189 11 23 82 0 group_fallback -12.0389 -8.59172 -8.59172 0.1204 2.23903 0.336721 0.336721 0 "individual constrained fit failed quality criteria"
190 11 23 7 0 group_fallback nan -8.59172 -8.59172 0.1204 2.23903 0.336721 0.336721 -1 "insufficient individual entries"
191 11 23 21 0 group_fallback nan -8.59172 -8.59172 0.1204 2.23903 0.336721 0.336721 -1 "insufficient individual entries"
192 12 24 297 0 individual_fit -1.88748 -2.94126 -1.78526 0.184862 1.7959 7.14318 7.14318 0 "valid constrained fit"
193 12 24 21 0 group_fallback nan -2.94126 -2.94126 0.131009 2.38224 5.98718 5.98718 -1 "insufficient individual entries"
194 12 24 11 0 group_fallback nan -2.94126 -2.94126 0.131009 2.38224 5.98718 5.98718 -1 "insufficient individual entries"
195 12 24 0 0 unused nan -2.94126 nan nan nan 0 0 -1 "known unused pixel"
196 12 24 64 0 individual_fit -2.4354 -2.94126 -2.25376 0.637483 2.06564 6.67468 6.67468 0 "valid constrained fit"
197 12 24 43 0 group_fallback -4.72861 -2.94126 -2.94126 0.131009 2.38224 5.98718 5.98718 0 "individual constrained fit failed quality criteria"
198 12 24 73 0 individual_fit -5.72529 -2.94126 -4.80262 0.155194 0.5 4.12582 4.12582 0 "valid constrained fit"
199 12 24 0 0 unused nan -2.94126 nan nan nan 0 0 -1 "known unused pixel"
200 12 25 3 0 unavailable nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
201 12 25 8 0 unavailable nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
202 12 25 7 0 unavailable nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
203 12 25 1 0 unavailable nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
204 12 25 1 0 unavailable nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
205 12 25 13 0 unavailable nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
206 12 25 9 0 unavailable nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
207 12 25 10 0 unavailable nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
208 13 26 64 0 individual_fit -2.94275 -7.14854 -5.92422 0.17396 0.5 3.00422 3.00422 0 "valid constrained fit"
209 13 26 212 0 individual_fit -6.49921 -7.14854 -5.57426 0.402636 3.75997 3.35417 3.35417 0 "valid constrained fit"
210 13 26 281 0 individual_fit -5.91426 -7.14854 -6.9148 0.450653 1.92734 2.01364 2.01364 0 "valid constrained fit"
211 13 26 235 0 individual_fit -8.6388 -7.14854 -8.51461 0.654439 3.29359 0.413828 0.413828 0 "valid constrained fit"
212 13 26 105 0 group_fallback -6.09586 -7.14854 -7.14854 0.0973374 3.03072 1.7799 1.7799 0 "individual constrained fit failed quality criteria"
213 13 26 0 0 unused nan -7.14854 nan nan nan 0 0 -1 "known unused pixel"
214 13 26 232 0 individual_fit -10.0734 -7.14854 -10.1651 0.157701 0.974219 -1.23665 -1.23665 0 "valid constrained fit"
215 13 26 259 0 individual_fit -9.87708 -7.14854 -10.0301 0.186972 0.884872 -1.10167 -1.10167 0 "valid constrained fit"
216 13 27 44 0 group_fallback -11.7654 -8.88174 -8.88174 0.247675 2.69478 0.046697 0.046697 1 "individual constrained fit failed quality criteria"
217 13 27 75 0 individual_fit -10.9332 -8.88174 -11.0808 0.460308 1.62256 -2.15234 -2.15234 0 "valid constrained fit"
218 13 27 25 0 group_fallback nan -8.88174 -8.88174 0.247675 2.69478 0.046697 0.046697 -1 "insufficient individual entries"
219 13 27 26 0 group_fallback nan -8.88174 -8.88174 0.247675 2.69478 0.046697 0.046697 -1 "insufficient individual entries"
220 13 27 0 0 unused nan -8.88174 nan nan nan 0 0 -1 "known unused pixel"
221 13 27 27 0 group_fallback nan -8.88174 -8.88174 0.247675 2.69478 0.046697 0.046697 -1 "insufficient individual entries"
222 13 27 15 0 group_fallback nan -8.88174 -8.88174 0.247675 2.69478 0.046697 0.046697 -1 "insufficient individual entries"
223 13 27 0 0 group_fallback nan -8.88174 -8.88174 0.247675 2.69478 0.046697 0.046697 -1 "insufficient individual entries"
224 14 28 51 0 group_fallback -3.74669 -6.77436 -6.77436 0.166353 2.51338 2.15407 2.15407 0 "individual constrained fit failed quality criteria"
225 14 28 13 0 group_fallback nan -6.77436 -6.77436 0.166353 2.51338 2.15407 2.15407 -1 "insufficient individual entries"
226 14 28 26 0 group_fallback nan -6.77436 -6.77436 0.166353 2.51338 2.15407 2.15407 -1 "insufficient individual entries"
227 14 28 70 0 individual_fit -5.53056 -6.77436 -5.50286 0.994175 2.18696 3.42558 3.42558 0 "valid constrained fit"
228 14 28 42 0 individual_fit -7.35245 -6.77436 -7.35295 0.352154 1.01423 1.57549 1.57549 0 "valid constrained fit"
229 14 28 41 0 individual_fit -8.57228 -6.77436 -6.94577 0.183381 0.5 1.98267 1.98267 0 "valid constrained fit"
230 14 28 48 0 individual_fit -8.39905 -6.77436 -7.73205 0.211383 0.5 1.19638 1.19638 0 "valid constrained fit"
231 14 28 49 0 individual_fit -7.33306 -6.77436 -7.41144 0.385687 1.12062 1.517 1.517 0 "valid constrained fit"
232 14 29 89 0 individual_fit -7.86479 -8.0252 -7.91899 0.628276 1.88244 1.00945 1.00945 0 "valid constrained fit"
233 14 29 161 0 individual_fit -7.07639 -8.0252 -7.05348 0.531071 2.17859 1.87495 1.87495 0 "valid constrained fit"
234 14 29 203 0 group_fallback -7.1133 -8.0252 -8.0252 0.0851576 2.33205 0.90324 0.90324 0 "individual constrained fit failed quality criteria"
235 14 29 156 0 individual_fit -7.86126 -8.0252 -7.73459 0.188872 1.46183 1.19384 1.19384 0 "valid constrained fit"
236 14 29 0 0 unused nan -8.0252 nan nan nan 0 0 -1 "known unused pixel"
237 14 29 167 0 individual_fit -9.7439 -8.0252 -9.65649 0.487398 1.72081 -0.728049 -0.728049 0 "valid constrained fit"
