# CDet hierarchical eight-pixel-group timing diagnostic
# reference median of valid individual centroids
# manual LE-versus-TOT cuts: CDet_run5710_halfbar_aligned_final_archive/CDet_pixel_quality_cuts_run5710_halfbar_aligned_final.root (loaded 102)
# pixel bar group entries manual_2d_cut source broad_mu_ns group_mu_ns used_mu_ns used_mu_err_ns used_sigma_ns correction_ns total_offset_ns fit_status reason
129 8 16 57 0 group_fallback -7.82981 -7.48194 -7.48194 0.156565 2.67561 -0.32271 4.15553 0 "individual constrained fit failed quality criteria"
130 8 16 45 0 individual_fit -7.35276 -7.48194 -7.19856 0.658825 2.00317 -0.0393369 6.72514 0 "valid constrained fit"
131 8 16 17 0 group_fallback nan -7.48194 -7.48194 0.156565 2.67561 -0.32271 4.76177 -1 "insufficient individual entries"
132 8 16 67 0 individual_fit -6.60908 -7.48194 -8.32964 0.345644 0.802966 -1.17041 4.44895 0 "valid constrained fit"
133 8 16 54 0 individual_fit -7.20201 -7.48194 -7.20148 1.18545 2.87127 -0.0422494 4.42635 0 "valid constrained fit"
134 8 16 70 0 individual_fit -6.47864 -7.48194 -6.57393 0.898171 2.38867 0.585297 6.26027 0 "valid constrained fit"
135 8 16 75 0 individual_fit -7.912 -7.48194 -8.81466 1.26771 2.56509 -1.65543 2.28626 0 "valid constrained fit"
136 8 17 174 0 individual_fit -7.16977 -6.74208 -7.22462 0.334218 1.79008 -0.0653911 5.29372 0 "valid constrained fit"
137 8 17 135 0 group_fallback -5.79957 -6.74208 -6.74208 0.125708 3.07884 0.417149 2.71428 0 "individual constrained fit failed quality criteria"
138 8 17 113 0 individual_fit -7.53747 -6.74208 -7.43331 0.579625 2.45898 -0.274086 4.13603 0 "valid constrained fit"
139 8 17 175 0 individual_fit -6.50286 -6.74208 -7.00896 0.917747 3.12256 0.150267 4.53848 0 "valid constrained fit"
140 8 17 0 0 unused nan -6.74208 nan nan nan 0 0 -1 "known unused pixel"
141 8 17 151 0 individual_fit -7.13111 -6.74208 -6.91407 0.763542 3.14475 0.245155 3.51787 0 "valid constrained fit"
142 8 17 14 0 group_fallback nan -6.74208 -6.74208 0.125708 3.07884 0.417149 4.02167 -1 "insufficient individual entries"
143 8 17 0 0 unused nan -6.74208 nan nan nan 0 0 -1 "known unused pixel"
144 9 18 80 0 individual_fit -7.02871 -8.03746 -7.36561 0.417467 1.7054 -0.206386 3.92307 0 "valid constrained fit"
145 9 18 0 0 unused nan -8.03746 nan nan nan 0 0 -1 "known unused pixel"
146 9 18 15 0 group_fallback nan -8.03746 -8.03746 0.256508 3.0429 -0.878234 0.449865 -1 "insufficient individual entries"
147 9 18 0 0 group_fallback nan -8.03746 -8.03746 0.256508 3.0429 -0.878234 0.449865 -1 "insufficient individual entries"
148 9 18 66 0 individual_fit -9.66642 -8.03746 -8.76059 0.32615 0.500076 -1.60136 6.01188 0 "valid constrained fit"
149 9 18 36 0 individual_fit -9.3581 -8.03746 -9.29386 0.339917 0.500002 -2.13463 -0.80653 0 "valid constrained fit"
150 9 18 23 0 group_fallback nan -8.03746 -8.03746 0.256508 3.0429 -0.878234 0.449865 -1 "insufficient individual entries"
151 9 18 21 0 group_fallback nan -8.03746 -8.03746 0.256508 3.0429 -0.878234 0.449865 -1 "insufficient individual entries"
152 9 19 80 0 individual_fit -7.17693 -7.17508 -7.19287 0.377143 1.84937 -0.0336421 3.6695 0 "valid constrained fit"
153 9 19 221 0 individual_fit -7.47196 -7.17508 -7.15851 0.296555 2.12603 0.00071586 4.07432 0 "valid constrained fit"
154 9 19 527 0 individual_fit -7.62621 -7.17508 -6.70516 0.392916 3.20851 0.454067 4.59097 0 "valid constrained fit"
155 9 19 523 0 individual_fit -7.86923 -7.17508 -7.13157 0.170836 2.09842 0.0276614 3.46922 0 "valid constrained fit"
156 9 19 0 0 unused nan -7.17508 nan nan nan 0 0 -1 "known unused pixel"
157 9 19 61 0 individual_fit -6.64353 -7.17508 -5.62538 0.473171 3.26233 1.53385 1.9191 0 "valid constrained fit"
158 9 19 609 0 group_fallback -5.86698 -7.17508 -7.17508 0.0604979 2.74353 -0.0158555 3.46327 0 "individual constrained fit failed quality criteria"
159 9 19 553 0 individual_fit -7.40855 -7.17508 -7.07705 0.371736 3.1266 0.0821746 5.05117 0 "valid constrained fit"
160 10 20 279 0 individual_fit -6.04484 -7.16859 -5.52566 0.713082 3.16983 1.63356 4.92759 0 "valid constrained fit"
