# CDet all-pixel ECal-CDet timing-offset extraction
# run 5710
# calibration_stage 7
# timing_units ns
# ecal_energy_cut_gev 1 12
# dt = tECal - tCDetLE
# fit_interval_ns -30 0
# calibration_centroid_source gaus(0)+pol1(3)_signal_mean; background subtraction is diagnostic only
# background_fit_interval_ns -60 30
# peak_seed_interval_ns -25 -5
# background_rejection_nsigma 2.5
# reference_scope detector-wide
# detector_mu0_ns -8.70682 detector_mu0_err_ns 0.00557766
# residual_correction = mu_i - detector_mu0; total_offset = existing_offset + residual_correction
# pixel_id bar entries fit_status valid_fit detector_reference_valid mu_ns mu_err_ns sigma_ns sigma_err_ns residual_correction_ns correction_err_ns total_offset_ns detector_mu0_ns detector_mu0_err_ns chi2 ndf chi2_ndf amplitude amplitude_err background_amplitude background_amplitude_limit background_mean_ns background_sigma_ns reject_low_ns reject_high_ns validity_code failure_reason
136 8 165 0 1 1 -7.73323 0.26495 2.10151 0.30388 0.973593 0.264892 8.02519 -8.70682 0.00557766 13.2065 17 0.77685 19.8412 2.85575 1.62083 5 -4.28303 19.3757 -12.987 -2.47944 10 "valid"
137 8 132 0 1 1 -7.49849 0.325167 2.49493 0.327684 1.20833 0.325119 6.21457 -8.70682 0.00557766 9.75597 12 0.812998 15.9008 2.19213 2.54493 3 -3.61797 14.1158 -13.7358 -1.26116 10 "valid"
138 8 104 0 1 1 -7.57897 0.385083 2.435 0.377338 1.12785 0.385043 6.74742 -8.70682 0.00557766 8.0496 16 0.5031 11.5375 1.86388 1.31106 3 -10.1489 47.4056 -13.6665 -1.49147 10 "valid"
139 8 167 0 1 1 -7.11589 0.37926 3.08617 0.434321 1.59093 0.379219 7.89966 -8.70682 0.00557766 6.41295 14 0.458068 20.3814 2.34443 1.15614 2 -2.923 45.6751 -14.8313 0.599537 10 "valid"
140 8 0 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 1 "unused pixel"
141 8 145 0 1 1 -7.02815 0.372379 3.00494 0.489961 1.67867 0.372337 6.55034 -8.70682 0.00557766 11.704 15 0.780266 16.5569 2.00275 1.24009 3 -12.0894 74.4878 -14.5405 0.484209 10 "valid"
142 8 9 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
143 8 0 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 1 "unused pixel"
144 9 50 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
145 9 0 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 1 "unused pixel"
