# CDet hierarchical eight-pixel-group timing diagnostic
# reference median of valid constrained individual centroids
# pixel bar group entries source broad_mu_ns group_mu_ns used_mu_ns used_mu_err_ns used_sigma_ns correction_ns total_offset_ns fit_status reason
193 12 24 20 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
194 12 24 12 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
195 12 24 0 unused nan nan nan nan nan 0 0 -1 "known unused pixel"
196 12 24 38 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
197 12 24 37 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
198 12 24 63 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
199 12 24 0 unused nan nan nan nan nan 0 0 -1 "known unused pixel"
200 12 25 2 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
201 12 25 8 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
202 12 25 7 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
203 12 25 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
204 12 25 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
205 12 25 8 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
206 12 25 6 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
207 12 25 9 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
208 13 26 36 group_fallback nan -7.64177 -7.64177 0.128014 2.83699 0.796803 0.796803 -1 "insufficient individual entries"
209 13 26 235 group_fallback -8.82491 -7.64177 -7.64177 0.128014 2.83699 0.796803 8.25827 0 "individual constrained fit failed quality criteria"
210 13 26 324 group_fallback -8.06523 -7.64177 -7.64177 0.128014 2.83699 0.796803 7.95187 0 "individual constrained fit failed quality criteria"
211 13 26 268 individual_fit -8.08562 -7.64177 -8.06917 0.255654 1.59955 0.369407 5.39194 0 "valid constrained fit"
212 13 26 129 individual_fit -7.44861 -7.64177 -7.5293 0.57297 1.61274 0.909275 4.48374 0 "valid constrained fit"
213 13 26 0 unused nan -7.64177 nan nan nan 0 0 -1 "known unused pixel"
214 13 26 287 individual_fit -7.97806 -7.64177 -8.05592 0.177735 1.62529 0.382653 3.90189 0 "valid constrained fit"
215 13 26 296 individual_fit -7.50458 -7.64177 -7.8084 0.278645 1.95545 0.630181 4.32171 0 "valid constrained fit"
216 13 27 59 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
217 13 27 97 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
218 13 27 24 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
219 13 27 20 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
220 13 27 0 unused nan nan nan nan nan 0 0 -1 "known unused pixel"
221 13 27 30 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
222 13 27 19 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
223 13 27 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
224 14 28 36 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
225 14 28 14 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
226 14 28 32 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
227 14 28 50 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
228 14 28 52 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
229 14 28 50 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
230 14 28 51 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
231 14 28 55 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
232 14 29 91 group_fallback nan -7.3829 -7.3829 0.169278 3.54129 1.05568 1.05568 -1 "insufficient individual entries"
233 14 29 182 group_fallback -7.83089 -7.3829 -7.3829 0.169278 3.54129 1.05568 7.22431 0 "individual constrained fit failed quality criteria"
234 14 29 222 individual_fit -7.92626 -7.3829 -7.37983 0.281677 1.91501 1.05875 7.20327 0 "valid constrained fit"
