global_halfbar,layer,halfbar_in_layer,instrumented_pixels,complete_min,complete_median,complete_max,complete_max_fraction,good_min,good_median,good_max,good_max_fraction,coherent_low_complete,coherent_low_good
34,1,34,14,2209,12238,54052,4.53152,1714,10458.5,47308,4.70025,0,0
35,1,35,14,331,24419,55748,4.67371,240,20479,48932,4.8616,0,0
36,1,36,14,124,18252,51111,4.28496,91,16157,46574,4.62732,0,0
37,1,37,14,985,19105.5,44607,3.73969,870,16761.5,39808,3.95509,0,0
38,1,38,14,3989,9917.5,28601,2.3978,3533,8610.5,24518,2.43597,0,0
39,1,39,14,820,30897.5,62282,5.2215,594,26631.5,54099,5.37496,0,0
40,1,40,14,3756,19999.5,38340,3.21429,2845,17474,33612,3.33949,0,0
41,1,41,14,2802,18456.5,58856,4.93427,2513,16501,51884,5.15489,0,0
42,1,42,14,5000,17784,39854,3.34121,4408,16028.5,35917,3.5685,0,0
43,1,43,14,588,9658.5,50161,4.20532,486,8565,45261,4.49687,0,0
44,1,44,14,0,7662,59033,4.94911,0,6571,51447,5.11148,0,0
45,1,45,14,0,9142.5,35039,2.93754,0,7922,29924,2.97308,0,0
46,1,46,14,171,705,35622,2.98642,131,609,30526,3.03289,0,0
47,1,47,14,182,3054.5,43585,3.65401,149,2511,37299,3.70581,0,0
48,1,48,14,0,1696.5,15458,1.29594,0,1392,13914,1.38241,0,0
49,1,49,14,8252,19186,50482,4.23223,7285,17000.5,45238,4.49459,0,0
50,1,50,14,37,11754,44178,3.70372,21,10868,39414,3.91595,0,0
51,1,51,14,0,92.5,8590,0.720154,0,85,7189,0.714257,0,0
52,1,52,14,398,15532.5,52086,4.3667,335,14040.5,46109,4.58112,0,0
53,1,53,14,97,13298,62980,5.28001,87,10715,55019,5.46637,0,0
54,1,54,14,22,5808,61188,5.12978,17,5100,50510,5.01838,0,0
55,1,55,14,0,4106.5,62551,5.24405,0,3631,52086,5.17496,0,0
56,1,56,14,752,11286,57021,4.78043,670,9905,51185,5.08544,0,0
57,1,57,14,0,0,60763,5.09415,0,0,53183,5.28395,0,0
58,1,58,14,0,4629.5,63269,5.30424,0,4028.5,53885,5.3537,0,0
59,1,59,14,43,2089.5,63125,5.29217,41,1629.5,55172,5.48157,0,0
60,1,60,14,1,18239.5,47289,3.96454,0,16616.5,40910,4.06458,0,0
61,1,61,14,0,215,6261,0.524899,0,190,5409,0.537407,0,0
62,1,62,14,1185,22317.5,57018,4.78018,641,19283,48738,4.84232,0,0
63,1,63,14,0,726.5,26074,2.18595,0,575.5,22467,2.23219,0,0
64,1,64,14,0,5296.5,50230,4.2111,0,3704.5,42311,4.20378,0,0
65,1,65,14,0,10077.5,51337,4.30391,0,7952,43517,4.3236,0,0
66,1,66,14,77,7527.5,57162,4.79225,58,5616.5,47961,4.76513,0,0
67,1,67,14,503,1960,64939,5.44425,279,1609,55415,5.50571,0,0
68,1,68,14,2146,33110.5,65732,5.51073,1826,28773.5,57306,5.69359,0,0
69,1,69,14,259,732.5,52939,4.43821,238,641,45813,4.55171,0,0
70,1,70,14,0,0,0,0,0,0,0,0,1,1
71,1,71,14,345,6634,44680,3.74581,270,5818.5,39755,3.94983,0,0
